"A","B","Y","C"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A1","B2","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B1","0","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A2","B2","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B3","1","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A1","B4","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B3","0","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A2","B4","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B1","1","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A3","B2","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B1","0","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A4","B2","1","C2"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B3","1","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A3","B4","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B3","0","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
"A4","B4","1","C1"
